Compilation Hierarchy Node,Logic Cells,Dedicated Logic Registers
R32V2020_A4CE6_top,4979 (1),1495 (0)
|R32V2020_top:middle|,4757 (0),1363 (0)
BlockRam_Stack:Stack_RAM,100 (0),64 (0)
BlockRom_Instruction:Instr_ROM,101 (0),66 (0)
Debouncer:DebounceResetSwitch,7 (7),7 (7)
PeripheralInterface:Peripherals,2419 (141),757 (36)
ANSIDisplayVGA:SVGA,966 (788),200 (200)
Debouncer:DebounceSwitch1,7 (7),7 (7)
Debouncer:DebounceSwitch2,7 (7),7 (7)
Debouncer:DebounceSwitch3,7 (7),7 (7)
Loadable_7S8D_LED:SevenSegDisplay,56 (56),21 (21)
REG_16:LedRing,12 (12),12 (12)
REG_32:SevenSegmentDisplayLatch,32 (32),32 (32)
REG_8:IOLatch,8 (8),8 (8)
REG_8:LedBuzzerLatch,8 (8),8 (8)
REG_8:NoteLatch,8 (8),8 (8)
Timer_Unit:timers,153 (122),124 (113)
bufferedUART:UART,152 (152),93 (93)
counterLoadable:MusicNoteCounter,44 (44),19 (19)
i2c:eepi2cIF,58 (58),33 (33)
i2c:i2cIF,58 (58),34 (34)
ps2_keyboard_to_ascii:ps2Keyboard,695 (606),86 (28)
spi:spiMaster,27 (27),22 (22)
R32V2020:R32V2020_CPU,2002 (361),405 (0)
ALU:ALU,570 (491),0 (0)
FlowControl:FlowControl,11 (11),0 (0)
OneHotStateMachine:StateMachine,17 (17),12 (12)
OpCodeDecoder:opcodeDecoder,24 (20),0 (0)
RegisterFile:RegisterFile,1027 (38),393 (0)
COUNT_32:programCounter,50 (50),32 (32)
COUNT_32:stackAddress,35 (35),32 (32)
COUNT_32_Load124:dataRamAddress,163 (163),32 (32)
COUNT_32_Load124:peripheralAddress,168 (168),32 (32)
MUX_16x32:muxA,266 (266),0 (0)
MUX_16x32:muxB,266 (266),0 (0)
REG_16:r10Lower,16 (16),16 (16)
REG_16:r10Upper,16 (16),16 (16)
REG_16:r11Lower,16 (16),16 (16)
REG_16:r11Upper,16 (16),16 (16)
REG_16:r12Lower,16 (16),16 (16)
REG_16:r12Upper,16 (16),16 (16)
REG_16:r13Lower,16 (16),16 (16)
REG_16:r13Upper,16 (16),16 (16)
REG_16:r14Lower,16 (16),16 (16)
REG_16:r14Upper,16 (16),16 (16)
REG_16:r15Lower,16 (16),16 (16)
REG_16:r15Upper,16 (16),16 (16)
REG_16:r8Lower,16 (16),16 (16)
REG_16:r8Upper,16 (16),16 (16)
REG_16:r9Lower,16 (16),16 (16)
REG_16:r9Upper,16 (16),16 (16)
REG_32:conditionCodeRegister,9 (9),9 (9)
Wrap_Data_Ram:Data_RAM_Wrap,147 (48),64 (0)
